date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,13.1,9.3,16.1,1.8,0,227,20,57.6,1012.2,
2023-01-02,9.9,5.4,13.4,0.4,0,220,13.6,46.1,1014.2,
2023-01-03,4.3,1.8,6.6,2.1,0,225,9.9,35.3,1025.7,
2023-01-04,8.7,5.6,11.1,19.4,0,224,22.8,65.9,1012.2,
2023-01-05,7.1,3.6,9.6,1.3,0,278,18.1,60.1,1013.9,
2023-01-06,7.5,3.7,10.1,0.7,0,216,13.2,46.4,1015.8,
2023-01-07,8.4,3.9,10.2,0.2,0,179,11.5,30.6,1013.1,
2023-01-08,7.9,5.1,10.3,4.4,0,183,12.9,30.6,1002.8,
2023-01-09,6.1,5.1,7.5,5.6,0,206,10.6,32,998.2,
2023-01-10,5.6,4.5,6.6,2.2,0,230,13.8,45,1013.5,
2023-01-11,6.9,4.8,8.7,4.3,0,217,16.1,50.8,1008,
2023-01-12,8.6,6.7,10.6,11.5,0,224,21.4,60.1,1003.5,
2023-01-13,7.5,5.4,9.9,7.6,0,239,23.4,56.9,1002.3,
2023-01-14,6.7,5.3,10.2,11.3,0,214,20.1,53.6,1004.9,
2023-01-15,5.6,4.3,6.9,1.3,0,240,24,70.2,995.6,
2023-01-16,4.3,2.6,5.6,1.3,0,166,16,45.4,988.9,
2023-01-17,2.2,-1.7,4.6,0.2,0,224,14.4,54.4,983,
2023-01-18,-1.2,-3.4,1.7,0,0,193,7.9,27.7,994.7,
2023-01-19,0.9,-1.3,2.3,0,0,208,13.7,37.1,1001.9,
2023-01-20,-0.3,-3,3.4,0,0,206,5.9,22.7,1015.9,
2023-01-21,0.7,-1.4,3.1,0.1,0,3,8.7,33.5,1030.3,
2023-01-22,2.5,1.1,3.9,0.2,0,50,12.4,37.4,1032.2,
2023-01-23,2.1,1.5,3,0,0,82,5.2,16.9,1038.4,
2023-01-24,0.6,-1.3,1.6,0,0,98,3.7,10.8,1040.8,
2023-01-25,-1.3,-2.9,-0.5,0.1,0,216,6.7,19.4,1032.8,
2023-01-26,-0.2,-2.5,3.2,0.3,0,284,6.2,18.7,1023.1,
2023-01-27,2.4,0.3,3.9,0,0,39,11,30.2,1027.1,
2023-01-28,0.6,-1.6,2.5,0.2,0,274,5.3,20.9,1029,
2023-01-29,2,1.1,3.1,2.1,0,242,16.3,45.4,1022.5,
2023-01-30,4.6,2.7,6.7,4.9,0,277,26.6,68.4,1008.9,
2023-01-31,4.5,2.5,6.9,8.9,0,270,22.2,59.4,1013.9,
