Camera,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
Camera 1,2022-02-07T19:00:24+01:00,2022-02-07T19:00:24+01:00,event,animal,,Lepus europaeus,1.0,,,,,,,,,,,,machine,Max Philipp Dannnenbaum,2025-01-08T13:42:12Z,1.0,,
Camera 1,2022-02-07T19:00:24+01:00,2022-02-07T19:00:24+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-08T13:42:12Z,1.0,,
Camera 1,2022-02-14T09:20:13+01:00,2022-02-14T09:24:09+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-08T13:43:34Z,1.0,,
Camera 1,2022-02-14T09:20:13+01:00,2022-02-14T09:24:09+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Max Philipp Dannnenbaum,2025-01-08T13:43:34Z,1.0,,
Camera 1,2022-02-18T01:11:06+01:00,2022-02-18T01:11:06+01:00,event,animal,,Lepus europaeus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-08T13:44:42Z,1.0,,
Camera 1,2022-02-19T11:55:55+01:00,2022-02-19T11:56:36+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-08T13:44:51Z,1.0,,
Camera 1,2022-02-19T11:55:55+01:00,2022-02-19T11:56:36+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Max Philipp Dannnenbaum,2025-01-08T13:44:51Z,1.0,,
Camera 1,2022-03-08T01:16:41+01:00,2022-03-08T01:16:41+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-08T13:47:49Z,1.0,,
Camera 1,2022-03-08T01:16:41+01:00,2022-03-08T01:16:41+01:00,event,animal,,Lepus europaeus,1.0,,,,,,,,,,,,machine,Max Philipp Dannnenbaum,2025-01-08T13:47:49Z,1.0,,
Camera 1,2022-04-15T02:09:36+01:00,2022-04-15T02:12:01+01:00,event,animal,,Lepus europaeus,1.0,,,,,,,,,,,,machine,Max Philipp Dannnenbaum,2025-01-09T13:57:13Z,1.0,,
Camera 1,2022-04-15T02:09:36+01:00,2022-04-15T02:12:01+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-09T13:57:13Z,1.0,,
Camera 1,2022-04-22T05:00:11+01:00,2022-04-22T05:00:11+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Elias Sari Effenberg,2025-01-09T14:06:21Z,1.0,,
Camera 1,2022-04-22T05:00:11+01:00,2022-04-22T05:00:11+01:00,event,animal,,Vulpes vulpes,1.0,,,,,,,,,,,,machine,Elias Sari Effenberg,2025-01-09T14:06:21Z,1.0,,
Camera 1,2022-04-22T05:26:56+01:00,2022-04-22T05:26:56+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Elias Sari Effenberg,2025-01-09T14:06:27Z,1.0,,
Camera 1,2022-04-23T02:30:28+01:00,2022-04-23T02:30:28+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Elias Sari Effenberg,2025-01-09T14:07:00Z,1.0,,
Camera 1,2022-04-23T02:30:28+01:00,2022-04-23T02:30:28+01:00,event,animal,,Lepus europaeus,1.0,,,,,,,,,,,,machine,Elias Sari Effenberg,2025-01-09T14:07:00Z,1.0,,
Camera 1,2022-04-23T03:44:39+01:00,2022-04-23T03:44:39+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Elias Sari Effenberg,2025-01-09T14:07:07Z,1.0,,
Camera 1,2022-04-24T02:37:36+01:00,2022-04-24T02:37:36+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Elias Sari Effenberg,2025-01-09T14:08:09Z,1.0,,
Camera 1,2022-04-24T05:18:35+01:00,2022-04-24T05:18:35+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Elias Sari Effenberg,2025-01-09T14:08:18Z,1.0,,
Camera 1,2022-04-24T05:18:35+01:00,2022-04-24T05:18:35+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Elias Sari Effenberg,2025-01-09T14:08:18Z,1.0,,
Camera 1,2022-04-25T00:45:00+01:00,2022-04-25T00:45:00+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Elias Sari Effenberg,2025-01-09T16:25:45Z,1.0,,
Camera 1,2022-04-25T00:45:00+01:00,2022-04-25T00:45:00+01:00,event,animal,,Lepus europaeus,1.0,,,,,,,,,,,,machine,Elias Sari Effenberg,2025-01-09T16:25:45Z,1.0,,
Camera 1,2022-04-25T02:06:55+01:00,2022-04-25T02:06:55+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Elias Sari Effenberg,2025-01-09T14:09:20Z,1.0,,
Camera 1,2022-04-25T02:06:55+01:00,2022-04-25T02:06:55+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Elias Sari Effenberg,2025-01-09T14:09:20Z,1.0,,
Camera 1,2022-04-25T02:06:55+01:00,2022-04-25T02:06:55+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Elias Sari Effenberg,2025-01-09T14:09:20Z,1.0,,
Camera 1,2022-04-25T02:51:02+01:00,2022-04-25T02:51:02+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Elias Sari Effenberg,2025-01-09T14:11:29Z,1.0,,
Camera 1,2022-04-29T10:13:08+01:00,2022-04-29T10:19:06+01:00,event,animal,,Capra hircus,1.0,,,,,,,,,,,,machine,Elias Sari Effenberg,2025-01-09T16:30:32Z,1.0,,
Camera 1,2022-06-02T16:24:21+01:00,2022-06-02T16:24:21+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Elias Sari Effenberg,2025-01-09T16:34:26Z,1.0,,
Camera 1,2022-06-17T12:39:16+01:00,2022-06-17T12:40:17+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Elias Sari Effenberg,2025-01-09T16:38:27Z,1.0,,
Camera 1,2022-06-18T22:49:28+01:00,2022-06-18T22:49:28+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Elias Sari Effenberg,2025-01-09T16:40:24Z,1.0,,
Camera 1,2022-06-24T02:28:25+01:00,2022-06-24T02:28:25+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T11:16:29Z,1.0,,
Camera 1,2022-06-27T13:27:23+01:00,2022-06-27T13:27:23+01:00,event,animal,,Lepus europaeus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T20:05:24Z,0.73,,
Camera 1,2022-06-29T18:12:29+01:00,2022-06-29T18:12:59+01:00,event,animal,,Turdus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T18:29:09Z,0.73,,
Camera 1,2022-07-03T06:25:14+01:00,2022-07-03T06:25:14+01:00,event,animal,,Buteo buteo,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T19:29:31Z,0.7,,
Camera 1,2022-07-10T16:37:42+01:00,2022-07-10T16:37:42+01:00,event,animal,,Corvus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T12:14:18Z,1.0,,
Camera 1,2022-07-12T23:45:21+01:00,2022-07-12T23:45:21+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T20:56:15Z,0.81,,
Camera 1,2022-07-13T03:10:54+01:00,2022-07-13T03:10:54+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T12:53:43Z,1.0,,
Camera 1,2022-07-15T00:47:51+01:00,2022-07-15T00:47:51+01:00,event,animal,,Ovis ammon,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T18:47:39Z,0.77,,
Camera 1,2022-07-17T16:28:36+01:00,2022-07-17T16:29:12+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T18:19:21Z,0.82,,
Camera 1,2022-07-19T01:42:45+01:00,2022-07-19T01:43:16+01:00,event,animal,,Cervus elaphus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T19:49:18Z,0.79,,
