date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,11.6,10.1,12.5,1.9,0,232.0,12.6,39.2,1020.5,
2022-01-02,10.6,8.8,12.3,13.2,0,225.0,16.0,59.4,1010.4,
2022-01-03,8.1,6.3,9.9,2.2,0,241.0,17.4,60.8,1004.4,
2022-01-04,5.6,2.0,7.7,0.9,0,230.0,10.6,41.0,995.3,
2022-01-05,2.7,1.0,3.9,0.6,0,254.0,16.7,51.5,996.8,
2022-01-06,0.5,-2.2,4.3,0.2,0,248.0,8.2,35.6,1014.3,
2022-01-07,1.5,0.2,2.8,0.6,0,201.0,12.9,32.0,1010.2,
2022-01-08,1.9,1.1,3.4,0.8,0,209.0,13.9,42.8,1005.4,
2022-01-09,2.6,0.4,4.7,4.5,0,186.0,14.0,40.3,996.1,
2022-01-10,3.0,2.4,3.8,0.0,0,298.0,5.7,25.6,1019.4,
2022-01-11,2.0,1.1,3.0,0.1,0,167.0,7.4,23.8,1033.6,
2022-01-12,3.3,1.7,4.3,0.0,0,253.0,9.5,25.2,1036.3,
2022-01-13,4.8,3.8,6.3,0.0,0,264.0,17.5,40.3,1035.2,
2022-01-14,5.3,1.1,7.1,0.1,0,284.0,16.7,41.8,1031.5,
2022-01-15,2.0,-1.0,4.5,0.0,0,217.0,6.4,17.3,1029.1,
2022-01-16,3.5,1.0,5.9,0.9,0,240.0,14.6,44.3,1020.0,
2022-01-17,4.5,0.5,7.4,1.4,0,296.0,21.1,65.9,1024.5,
2022-01-18,5.3,2.8,7.1,0.0,0,276.0,9.2,28.1,1034.9,
2022-01-19,3.3,2.2,4.6,2.5,0,242.0,16.6,52.9,1021.9,
2022-01-20,0.6,-2.9,3.6,0.4,0,304.0,20.9,61.9,1018.2,
2022-01-21,1.5,-3.0,5.7,0.7,0,289.0,14.3,40.0,1026.2,
2022-01-22,5.4,4.8,6.3,1.4,0,300.0,10.3,41.0,1028.3,
2022-01-23,5.8,4.7,7.2,0.3,0,292.0,9.5,24.1,1033.6,
2022-01-24,4.3,3.2,4.8,0.0,0,276.0,6.9,22.0,1034.7,
2022-01-25,3.7,2.9,4.7,0.4,0,261.0,8.6,21.6,1032.5,
2022-01-26,2.8,2.0,3.6,0.1,0,252.0,14.8,39.6,1028.0,
2022-01-27,5.0,3.6,7.7,1.1,0,261.0,25.1,62.6,1016.2,
2022-01-28,4.5,3.2,6.8,1.9,0,288.0,20.2,67.0,1025.7,
2022-01-29,6.8,4.2,9.7,1.4,0,256.0,27.9,85.7,1015.6,
2022-01-30,5.3,3.2,6.5,0.0,0,295.0,32.9,83.9,1016.9,
2022-01-31,2.1,0.8,3.2,0.6,0,160.0,9.3,33.1,1007.8,
2022-02-01,4.1,1.4,6.7,6.2,0,267.0,20.2,64.8,1006.8,
2022-02-02,4.8,1.2,6.7,0.6,0,290.0,23.0,65.5,1011.2,
2022-02-03,5.3,1.8,7.7,4.3,0,213.0,11.2,37.8,1013.7,
2022-02-04,5.8,1.9,8.6,7.9,0,229.0,16.8,61.9,1005.6,
2022-02-05,3.9,1.3,5.9,4.8,0,247.0,21.6,55.1,1011.8,
2022-02-06,5.0,1.3,7.4,23.0,0,253.0,20.9,62.6,998.1,
2022-02-07,3.2,1.1,6.7,0.0,0,286.0,19.3,58.3,1011.6,
2022-02-08,7.0,3.5,8.6,4.6,0,254.0,18.1,48.2,1021.2,
2022-02-09,8.2,5.4,9.6,2.0,0,247.0,17.7,48.2,1021.1,
2022-02-10,5.7,2.1,7.5,3.0,0,251.0,9.1,29.2,1017.5,
2022-02-11,2.0,-1.8,5.4,0.3,0,259.0,8.6,43.9,1022.6,
2022-02-12,0.9,-2.1,5.4,0.0,0,183.0,9.0,32.4,1028.9,
2022-02-13,3.4,-0.5,7.5,0.0,0,181.0,13.4,34.2,1013.8,
2022-02-14,8.1,4.9,13.0,0.1,0,191.0,15.4,39.2,1002.2,
2022-02-15,6.6,4.7,8.9,2.8,0,221.0,16.6,51.1,1005.9,
2022-02-16,8.3,5.2,12.3,20.2,0,222.0,23.0,76.0,993.6,
2022-02-17,6.7,3.8,10.4,8.3,0,269.0,33.6,102.6,992.2,
2022-02-18,6.0,3.3,9.7,5.8,0,220.0,23.2,97.6,997.1,
2022-02-19,4.1,2.0,6.0,3.1,0,245.0,28.8,96.5,1002.4,
2022-02-20,5.5,2.3,9.9,15.2,0,225.0,18.6,63.7,1001.0,
2022-02-21,4.4,2.7,9.9,2.2,0,254.0,24.9,79.6,992.0,
2022-02-22,5.4,2.9,7.7,2.6,0,268.0,20.2,63.7,1009.8,
2022-02-23,6.3,3.3,10.4,0.0,0,248.0,16.2,53.6,1019.0,
2022-02-24,6.5,1.6,10.6,1.0,0,210.0,17.3,73.4,1008.7,
2022-02-25,3.6,1.8,6.6,1.9,0,256.0,19.9,53.6,1015.0,
2022-02-26,4.1,0.0,9.2,0.0,0,358.0,10.1,37.8,1032.4,
2022-02-27,2.4,-2.1,8.8,0.0,0,124.0,8.9,29.2,1036.6,
2022-02-28,0.9,-1.9,5.7,0.0,0,141.0,11.4,37.1,1034.7,
2022-03-01,2.2,-2.6,8.0,0.0,0,151.0,9.8,33.5,1030.9,
2022-03-02,3.0,-1.8,9.2,0.0,0,66.0,4.5,18.4,1026.3,
2022-03-03,-0.2,-2.1,4.1,0.0,0,42.0,6.6,21.2,1023.0,
2022-03-04,1.3,-1.9,5.3,0.0,0,89.0,6.3,30.2,1025.1,
2022-03-05,1.3,-3.9,7.3,0.0,0,91.0,7.1,22.3,1025.6,
2022-03-06,0.8,-3.0,4.5,0.0,0,21.0,5.7,24.8,1027.2,
2022-03-07,1.4,-4.2,8.6,0.0,0,346.0,4.2,23.0,1027.7,
2022-03-08,2.9,-3.9,10.8,0.0,0,133.0,5.4,22.0,1026.4,
2022-03-09,4.7,-2.2,12.7,0.0,0,139.0,6.2,17.6,1026.3,
2022-03-10,5.6,0.3,12.3,0.0,0,124.0,13.5,43.2,1028.7,
2022-03-11,3.6,-1.4,9.1,0.0,0,130.0,21.7,53.3,1025.5,
2022-03-12,4.8,-0.6,12.0,0.0,0,135.0,17.2,46.1,1022.4,
2022-03-13,5.7,-1.1,12.3,0.0,0,128.0,14.6,40.7,1020.0,
2022-03-14,5.9,-0.4,10.8,2.1,0,193.0,9.4,30.2,1024.0,
2022-03-15,6.6,1.2,11.9,0.2,0,167.0,5.9,20.2,1027.2,
2022-03-16,7.3,2.1,12.6,0.0,0,118.0,8.6,31.0,1027.4,
2022-03-17,5.8,-0.4,8.1,3.8,0,200.0,13.0,40.0,1029.0,
2022-03-18,5.2,-2.0,13.4,0.0,0,347.0,4.7,25.2,1043.0,
2022-03-19,5.2,-1.0,11.6,0.0,0,63.0,12.1,40.3,1045.3,
2022-03-20,6.5,0.4,13.1,0.0,0,110.0,19.7,55.4,1036.9,
2022-03-21,7.6,2.6,13.9,0.0,0,140.0,13.2,37.8,1034.3,
2022-03-22,9.0,1.9,17.5,0.0,0,140.0,6.7,20.2,1033.7,
2022-03-23,8.4,-1.6,17.6,0.0,0,72.0,5.2,23.0,1032.3,
2022-03-24,8.3,0.3,16.4,0.0,0,115.0,4.7,21.2,1030.1,
2022-03-25,9.1,1.1,17.5,0.0,0,288.0,6.2,26.3,1030.0,
2022-03-26,8.5,2.7,15.1,0.0,0,297.0,9.9,34.9,1030.4,
2022-03-27,7.7,1.3,15.7,0.0,0,291.0,5.3,20.9,1031.0,
2022-03-28,6.7,3.7,11.9,0.0,0,302.0,10.1,30.2,1022.9,
2022-03-29,6.8,1.4,11.8,0.0,0,304.0,13.0,37.8,1012.3,
2022-03-30,3.3,1.2,5.8,1.1,0,36.0,5.3,22.0,1006.3,
2022-03-31,2.9,0.5,6.3,0.1,0,74.0,18.2,46.4,1004.9,
2022-04-01,3.0,-0.3,6.5,0.0,0,46.0,20.3,47.2,1009.4,
2022-04-02,1.8,-3.2,6.7,0.0,0,31.0,13.9,40.3,1016.8,
2022-04-03,2.3,-4.1,7.9,0.1,0,268.0,8.6,37.8,1019.0,
2022-04-04,3.7,1.1,6.9,8.3,0,240.0,22.3,63.0,1004.7,
2022-04-05,5.8,3.3,8.4,6.6,0,277.0,12.2,54.0,1001.3,
2022-04-06,9.2,8.0,10.5,0.4,0,232.0,18.4,47.9,997.0,
2022-04-07,8.0,4.7,11.1,14.1,0,231.0,23.2,69.1,983.7,
2022-04-08,4.9,2.4,9.1,3.1,0,272.0,19.3,70.6,992.0,
2022-04-09,4.8,1.5,9.9,0.7,0,278.0,17.9,60.8,1002.8,
2022-04-10,4.2,1.4,8.7,0.5,0,275.0,16.6,58.0,1015.5,
2022-04-11,6.6,-0.7,13.1,0.0,0,277.0,6.9,23.8,1019.5,
2022-04-12,10.5,2.8,17.5,0.0,0,117.0,12.6,39.2,1016.9,
2022-04-13,14.9,7.8,23.1,4.6,0,178.0,10.1,32.0,1015.7,
2022-04-14,12.0,7.6,16.7,0.0,0,278.0,9.2,38.9,1019.4,
2022-04-15,7.9,4.2,9.8,0.0,0,340.0,12.7,34.6,1026.0,
2022-04-16,7.1,-0.8,14.2,0.0,0,70.0,8.7,30.6,1035.1,
2022-04-17,8.4,-0.6,15.9,0.0,0,133.0,5.5,24.8,1031.1,
2022-04-18,9.7,0.8,16.8,0.0,0,106.0,6.4,24.8,1021.8,
2022-04-19,9.1,1.6,16.0,0.0,0,63.0,9.3,32.8,1017.5,
2022-04-20,9.2,2.6,16.5,0.0,0,41.0,10.2,34.2,1018.4,
2022-04-21,9.3,2.4,14.3,0.0,0,44.0,10.4,32.0,1015.4,
2022-04-22,10.0,3.4,16.9,0.0,0,63.0,12.3,42.1,1012.0,
2022-04-23,11.3,4.4,18.4,0.0,0,81.0,13.6,39.6,1011.1,
2022-04-24,9.3,5.8,15.5,0.1,0,47.0,15.5,37.8,1007.6,
2022-04-25,9.7,5.5,16.5,0.0,0,49.0,10.9,37.8,1012.3,
2022-04-26,10.1,2.6,16.7,0.0,0,54.0,5.8,24.5,1017.0,
2022-04-27,9.9,4.2,16.6,0.0,0,321.0,7.3,26.3,1024.3,
2022-04-28,9.2,1.9,17.1,0.0,0,315.0,6.1,32.4,1029.1,
2022-04-29,8.8,2.7,15.4,0.0,0,328.0,6.8,31.0,1028.7,
2022-04-30,9.0,2.4,14.2,0.0,0,330.0,7.3,25.9,1025.2,
2022-05-01,10.3,5.6,14.6,0.0,0,334.0,6.6,22.7,1023.4,
2022-05-02,11.3,4.7,19.2,0.0,0,350.0,5.5,27.0,1020.2,
2022-05-03,9.0,2.7,15.4,0.0,0,294.0,7.3,32.0,1018.0,
2022-05-04,9.3,1.4,16.7,0.0,0,265.0,5.5,27.0,1018.7,
2022-05-05,10.7,1.9,18.5,0.0,0,330.0,6.6,28.4,1021.4,
2022-05-06,13.6,4.4,21.0,0.0,0,248.0,3.4,19.1,1024.2,
2022-05-07,14.4,7.5,20.4,0.0,0,289.0,6.1,33.5,1022.8,
2022-05-08,10.9,3.7,18.0,0.0,0,346.0,9.5,29.5,1026.7,
2022-05-09,13.9,4.1,22.4,0.0,0,125.0,7.1,26.3,1027.3,
2022-05-10,17.6,10.8,27.0,1.2,0,204.0,10.9,36.7,1017.5,
2022-05-11,17.2,11.4,25.1,0.9,0,245.0,9.9,41.4,1010.0,
2022-05-12,14.4,9.0,20.7,0.0,0,276.0,13.6,56.2,1013.7,
2022-05-13,12.9,8.4,18.6,0.0,0,249.0,9.7,41.0,1016.5,
2022-05-14,14.1,7.9,20.0,0.0,0,281.0,11.6,37.8,1019.2,
2022-05-15,14.2,4.9,22.4,0.0,0,86.0,4.6,28.1,1021.9,
2022-05-16,18.2,9.0,26.3,6.6,0,107.0,10.4,34.6,1017.8,
2022-05-17,15.9,12.9,19.7,6.7,0,294.0,4.3,22.0,1019.7,
2022-05-18,19.6,11.2,27.3,0.0,0,148.0,10.7,34.2,1022.3,
2022-05-19,21.2,16.1,29.3,3.0,0,181.0,10.7,40.7,1018.1,
2022-05-20,16.9,12.9,21.9,0.0,0,296.0,8.9,32.8,1017.0,
2022-05-21,13.8,9.6,19.8,0.1,0,278.0,18.8,78.1,1016.0,
2022-05-22,13.2,7.3,19.7,0.0,0,307.0,6.4,22.3,1016.6,
2022-05-23,17.2,8.2,23.3,0.6,0,127.0,14.3,42.5,1006.7,
2022-05-24,15.4,9.9,19.6,0.7,0,225.0,15.1,46.1,1002.8,
2022-05-25,14.6,8.7,20.1,0.1,0,234.0,8.8,46.1,1012.7,
2022-05-26,14.9,12.4,19.9,3.6,0,262.0,15.6,48.6,1015.9,
